location_id,pm2_5,pm10,no2,so2,o3,co,aqi
3409455.0,1.81,3.68,0.49,0.3,31.3,75.77,1
3409456.0,10.01,11.05,7.39,1.84,29.3,200.17,2
3409457.0,8.8,10.08,12.35,3.69,8.59,216.44,1
3409458.0,11.92,13.3,6.87,1.74,26.9,229.43,2
3409459.0,11.92,13.3,6.87,1.74,26.9,229.43,2
3409460.0,7.99,8.78,10.77,3.52,19.82,194.31,1
3409461.0,7.99,8.78,10.77,3.52,19.82,194.31,1
3409462.0,7.48,8.87,7.47,2.39,26.34,163.76,1
3409463.0,5.84,6.54,5.13,1.11,30.95,157.94,1
3409464.0,16.41,17.69,12.23,4.62,28.91,344.13,2
3409465.0,16.41,17.69,12.23,4.62,28.91,344.13,2
3409466.0,6.52,7.39,4.41,0.57,27.19,181.03,1
3409467.0,8.32,9.4,6.21,1.21,18.27,218.87,1
3409468.0,16.41,17.69,12.23,4.62,28.91,344.13,2
3409469.0,1.56,3.6,0.63,0.73,32.56,80.4,1
3409470.0,1.34,2.57,0.33,0.45,33.55,77.5,1
3409471.0,1.39,2.89,0.25,0.37,33.21,77.22,1
3409472.0,1.56,3.6,0.63,0.73,32.56,80.4,1
3409473.0,9.75,11.09,12.69,5.18,9.85,185.77,1
3409474.0,8.65,9.96,11.22,5.65,9.94,186.85,1
3409475.0,1.39,2.89,0.25,0.37,33.21,77.22,1
3409476.0,1.39,2.89,0.25,0.37,33.21,77.22,1
3409477.0,1.39,2.89,0.25,0.37,33.21,77.22,1
3409478.0,1.56,3.6,0.63,0.73,32.56,80.4,1
3409479.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3409480.0,1.33,3.58,0.06,0.19,32.89,77.36,1
3409481.0,1.25,3.61,0.06,0.19,33.08,77.7,1
3409482.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3409483.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3409484.0,1.71,3.65,1.19,1.28,32.41,83.8,1
3409485.0,1.71,3.65,1.19,1.28,32.41,83.8,1
3409486.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3409487.0,1.39,2.89,0.25,0.37,33.21,77.22,1
3409488.0,8.99,10.71,3.3,1.19,29.29,267.55,1
3409489.0,10.56,13.03,3.99,1.56,26.67,277.48,2
3409492.0,8.22,9.72,3.2,1.27,63.52,156.22,2
3409493.0,10.47,12.46,2.76,1.57,67.9,150.21,2
3409494.0,12.52,26.09,19.83,17.78,27.8,251.18,2
3409495.0,6.23,26.86,3.46,0.83,47.3,119.67,2
3409497.0,1.04,2.55,0.11,0.2,31.51,73.62,1
3409498.0,7.64,10.84,3.11,1.09,54.57,147.1,1
